Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,Variacao 1/0,mm_5,mm_10,retorno_diario,retorno_acumulado,volatilidade_5d,vol_21d,vol_historica_anual,vol_historica
2022-11-03,116.896,116.927,117.373,114.485,"15,63M","-0,03%",1,115.8084,115.95450000000001,-0.00028222254530529955,-0.01414318605416065,0.007833032312450427,0.013857328274062426,0.2199782666937185,0.015786401225103774
2022-11-04,118.155,116.907,120.039,116.904,"16,21M","1,08%",0,116.5112,116.0529,0.010770257322748389,-0.0035252544845790768,0.006376041755990856,0.014041184936552745,0.22289690072870885,0.015786401225103774
2022-11-07,115.342,118.148,118.24,115.221,"15,22M","-2,38%",1,116.6718,115.5942,-0.023807710211163347,-0.027249036458552922,0.015016133733310436,0.014912611223394169,0.23673036417414992,0.015786401225103774
2022-11-08,116.16,115.34,117.072,114.688,"14,24M","0,71%",0,116.6964,115.60889999999999,0.007091952627837239,-0.020350332706433938,0.01406989718034783,0.014988133562123154,0.23792924413439118,0.015786401225103774
2022-11-09,113.58,116.153,116.183,113.11,"20,53M","-2,22%",0,116.0266,115.50429999999999,-0.022210743801652888,-0.04210908048206585,0.016315244509067007,0.015598389297279693,0.24761675360264176,0.015786401225103774
2022-11-10,109.775,113.579,113.579,108.516,"26,03M","-3,35%",1,114.60240000000002,115.20540000000001,-0.03350061630568757,-0.07419901663953843,0.01992734332123942,0.017132449123494754,0.2719691983814019,0.015786401225103774
2022-11-11,112.253,109.775,113.01,109.408,"25,04M","2,26%",1,113.422,114.9666,0.022573445684354265,-0.05330049842712925,0.023691739162731682,0.017883733459529223,0.2838954674836748,0.015786401225103774
2022-11-14,113.161,112.256,114.322,111.93,"15,08M","0,81%",0,112.9858,114.8288,0.00808887067606201,-0.045642768589813754,0.02332596771704089,0.017967671308675343,0.2852279395302325,0.015786401225103774
2022-11-16,110.243,113.166,113.473,109.512,"18,35M","-2,58%",0,111.80239999999999,114.2494,-0.025786269120986915,-0.07025208099651692,0.024179974050163745,0.01835180691198216,0.2913259031866861,0.015786401225103774
2022-11-17,109.703,110.241,110.242,107.245,"23,12M","-0,49%",0,111.027,113.52680000000001,-0.004898270184955034,-0.07480623750769555,0.02324569931961432,0.01806647561915487,0.2867964093341728,0.015786401225103774
2022-11-18,108.87,109.706,111.585,108.512,"18,77M","-0,76%",1,110.846,112.7242,-0.007593228991003009,-0.08183144560734723,0.01809677533245633,0.017500767282396537,0.2778160678922216,0.015786401225103774
